iter	Passed	Remaining
0	39	11944
1	66	9926
2	90	8914
3	113	8390
4	134	7939
5	154	7575
6	174	7292
7	193	7067
8	212	6872
9	230	6692
10	249	6557
11	270	6487
12	289	6398
13	307	6290
14	325	6189
15	343	6101
16	362	6030
17	379	5942
18	397	5880
19	414	5804
20	430	5720
21	447	5656
22	464	5591
23	482	5546
24	500	5502
25	518	5459
26	534	5402
27	551	5358
28	568	5314
29	586	5274
30	604	5242
31	621	5203
32	639	5173
33	656	5137
34	673	5100
35	691	5067
36	710	5048
37	728	5020
38	745	4989
39	762	4956
40	780	4932
41	797	4899
42	814	4870
43	831	4837
44	847	4803
45	864	4773
46	881	4744
47	899	4720
48	920	4716
49	941	4706
50	961	4695
51	981	4678
52	1001	4666
53	1023	4663
54	1042	4645
55	1062	4628
56	1082	4613
57	1102	4599
58	1124	4594
59	1143	4572
60	1161	4550
61	1180	4530
62	1196	4502
63	1215	4480
64	1232	4455
65	1248	4427
66	1266	4405
67	1286	4390
68	1305	4370
69	1324	4353
70	1342	4330
71	1361	4311
72	1378	4287
73	1396	4265
74	1414	4244
75	1433	4224
76	1450	4200
77	1467	4176
78	1484	4152
79	1502	4130
80	1518	4104
81	1534	4080
82	1552	4059
83	1569	4034
84	1586	4013
85	1604	3993
86	1621	3970
87	1639	3950
88	1657	3929
89	1674	3906
90	1692	3886
91	1711	3868
92	1728	3847
93	1746	3826
94	1764	3807
95	1782	3787
96	1799	3765
97	1816	3743
98	1833	3723
99	1851	3702
100	1869	3683
101	1888	3666
102	1906	3645
103	1922	3623
104	1940	3603
105	1958	3584
106	1977	3566
107	1993	3544
108	2009	3521
109	2026	3500
110	2043	3479
111	2059	3457
112	2075	3434
113	2091	3412
114	2108	3391
115	2124	3369
116	2140	3347
117	2156	3326
118	2173	3306
119	2189	3284
120	2206	3264
121	2223	3243
122	2240	3224
123	2258	3205
124	2275	3185
125	2292	3165
126	2309	3145
127	2327	3127
128	2343	3106
129	2361	3087
130	2378	3068
131	2395	3048
132	2411	3028
133	2428	3008
134	2444	2987
135	2460	2967
136	2477	2947
137	2493	2927
138	2510	2907
139	2526	2887
140	2543	2867
141	2560	2848
142	2578	2830
143	2595	2811
144	2611	2791
145	2627	2771
146	2644	2752
147	2661	2733
148	2677	2713
149	2694	2694
150	2710	2675
151	2727	2655
152	2745	2638
153	2763	2619
154	2780	2601
155	2796	2581
156	2814	2563
157	2832	2545
158	2848	2526
159	2866	2508
160	2884	2489
161	2900	2470
162	2916	2451
163	2933	2432
164	2948	2412
165	2965	2393
166	2982	2375
167	2998	2355
168	3016	2338
169	3033	2319
170	3048	2299
171	3065	2280
172	3081	2261
173	3097	2242
174	3113	2224
175	3129	2205
176	3147	2187
177	3164	2168
178	3182	2151
179	3198	2132
180	3216	2114
181	3234	2096
182	3251	2078
183	3267	2059
184	3283	2041
185	3300	2023
186	3317	2004
187	3335	1987
188	3352	1968
189	3370	1951
190	3386	1932
191	3404	1914
192	3420	1896
193	3437	1878
194	3456	1861
195	3473	1842
196	3491	1825
197	3509	1807
198	3527	1790
199	3544	1772
200	3560	1753
201	3578	1735
202	3595	1718
203	3612	1699
204	3630	1682
205	3646	1663
206	3664	1646
207	3682	1628
208	3699	1610
209	3717	1593
210	3734	1575
211	3751	1557
212	3768	1539
213	3785	1521
214	3800	1502
215	3817	1484
216	3833	1466
217	3851	1448
218	3871	1431
219	3892	1415
220	3909	1397
221	3926	1379
222	3944	1362
223	3964	1345
224	3982	1327
225	3999	1309
226	4016	1291
227	4032	1273
228	4049	1255
229	4066	1237
230	4084	1219
231	4102	1202
232	4118	1184
233	4136	1166
234	4153	1148
235	4171	1131
236	4186	1112
237	4203	1095
238	4221	1077
239	4238	1059
240	4253	1041
241	4274	1024
242	4293	1007
243	4312	989
244	4329	971
245	4345	953
246	4361	935
247	4377	917
248	4393	899
249	4410	882
250	4427	864
251	4443	846
252	4459	828
253	4475	810
254	4492	792
255	4509	774
256	4527	757
257	4544	739
258	4560	721
259	4576	704
260	4593	686
261	4610	668
262	4626	650
263	4644	633
264	4661	615
265	4677	597
266	4694	580
267	4710	562
268	4726	544
269	4745	527
270	4760	509
271	4777	491
272	4794	474
273	4810	456
274	4827	438
275	4843	421
276	4861	403
277	4878	386
278	4895	368
279	4912	350
280	4929	333
281	4955	316
282	4978	299
283	5001	281
284	5023	264
285	5045	246
286	5066	229
287	5084	211
288	5106	194
289	5129	176
290	5149	159
291	5170	141
292	5190	124
293	5211	106
294	5229	88
295	5248	70
296	5266	53
297	5284	35
298	5303	17
299	5319	0
