iter	Passed	Remaining
0	115	115084
1	244	122136
2	355	118294
3	447	111305
4	592	118002
5	690	114357
6	809	114791
7	926	114876
8	8	1291	142179	1162	115074
10	1266	113910
111	1640	135078112	1717	130387
13	1941	136747
14	2043	134199
15	2163	133025
16	2275	131570
17	2380	129850
18	2498	128976
19	2652	129979
20	2765	128931
21	2851	126764
22	2981	126636
23	3146	127942
24	3283	128052
25	3414	127897
26	3506	126352
27	3624	125830
28	3739	125192
29	3842	124248
30	3955	123636
31	4056	122701
32	4213	123482
33	4328	122975
34	4445	122556
35	4540	1236	4536	4654	1237	4637	4761	1238	4738	4860	1139	4892	117414
40	5006	117110
41	5149	117456
42	5305	118087
43	5411	117568
44	5515	117047
45	5689	117995
46	5806	117735
47	5900	117019
48	5983	116136
49	6104	115978
50	6223	115800
51	6380	116323
52	6498	116115
53	6630	116149
54	6747	115936
55	6864	115720
56	6986	115578
57	7145	116053
58	7246	115580
59	7342	115038
60	7445	114614
61	7558	114355
62	7711	114699
63	7822	114402
64	7924	113990
65	8042	113810
66	8130	113213
67	8233	112847
68	8348	112643
69	8460	112402
70	8555	111940
71	8676	111825
72	8776	111453
73	8865	110944
74	8972	110664
75	9051	110045
76	9195	110224
77	9318	110145
78	9442	110084
79	9605	110464
80	9695	110004
81	9740	109041
82	9855	108888
83	9956	108575
84	10054	108235
85	10110	107454
86	10153	106553
87	10303	106779
88	10407	106525
89	10515	106326
90	10628	106164
91	10726	105869
92	10843	105756
93	10950	105545
994	10899	103828995	195	11247	10996	196	11351	10997	197	11500	10998	198	11664	10999	199	11777	101100	100	11921	106101	101	12039	105102	11923	103837
103	12022	103581
104	12133	103424
105	12250	103317
106	12425	103700
107	12482	103092
108	12588	102906
109	109	12936	104110	110	13051	104111	111	13170	104112	112	13319	104113	113	13427	104114	114	13522	104115	13447	102477
116	13592	102580
117	13703	102431
118	13852	102551
119	14060	103109
120	14172	102958
121	14267	102679
122	14375	102496
123	14479	102293
124	14586	102103
125	14748	102301
126	14851	102089
127	14959	101912
128	15084	101850
129	15279	102257
130	15381	102032
131	15515	102023
132	15612	101772
133	15750	101793
134	15854	101587
135	15939	101259
136	16051	101113
137	16150	100879
138	16254	100681
139	16356	100475
140	16452	100229
141	16552	100016
142	16654	99808
143	16752	99587
144	16820	99182
145	16878	98728
146	16969	98466
147	17063	98231
148	17183	98142
149	17279	97918
150	17384	97743
151	17497	976153152	17601	974154153	17713	973155	17963	97186
156155	17892	968157156	18012	967158157	18123	965159158	18238	964160159	18342	962161160	18486	963161161	18592	961161162	18689	959161163	18858	96132
164	18950	959166165	19046	956167166	19163	955168167	19305	956169168	19400	953170169	19519	953171170	196171	19887171	197172	19986172	198173	20143	95625
174	20289	95650
175	20402	95520
176	20565	95623
177	20661	95413
178	20771	95268
179	20926	95331
180	21031	95165
181	21175	95173
182	21281	95009
183	21433	95052
184	21546	94922
185	21665	94816
186	21836	94935
187	21936	94746
188	22048	94610
189	22152	94438
190	22266	94311
191	22369	94136
192	22486	94023
193	22573	93783
194	22685	93648
195	22793	93500
196	22915	93404
197	23045	93346
198	23155	93203
199	23326	93304
200	23425	93119
201	23509	92872
202	23600	92656
203	23715	92536
204	23813	92348
205	23951	92318
206	24120	92405
207	24225	92244
208	24337	92111
209	24435	91924
210	24573	91890
211	24729	91918
212	24845	91800
213	24951	91645
214	25059	91497
215	25139	91248
216	25235	91057
217	25329	90861
218	25439	90721
219	25574	90674
220	25682	90526
221	25830	90523
