iter	RMSE
0	1.185167628
1	1.185156924
2	1.18514304
3	1.185131453
4	1.185115187
5	1.185098976
6	1.185082158
7	1.18507113
8	1.185060502
9	1.185048226
10	1.185035036
11	1.185025381
12	1.185017895
13	1.185004979
14	1.184995497
15	1.184977339
16	1.184970124
17	1.184961224
18	1.184949014
19	1.184934024
20	1.184923072
21	1.18490612
22	1.184896053
23	1.184885913
24	1.184871762
25	1.184859358
26	1.184847239
27	1.184845994
28	1.184834651
29	1.184823619
30	1.184809564
31	1.18479485
32	1.184780208
33	1.184769109
34	1.184757241
35	1.184744186
36	1.184734267
37	1.184720057
38	1.184704939
39	1.184696447
40	1.184680568
41	1.184664956
42	1.184655499
43	1.184642262
44	1.184629076
45	1.184613702
46	1.184601874
47	1.184588859
48	1.184575974
49	1.184561781
50	1.184550428
51	1.184541282
52	1.184527296
53	1.184520944
54	1.184509459
55	1.184497719
56	1.184487218
57	1.184472133
58	1.184460208
59	1.184450168
60	1.184434556
61	1.184424885
62	1.184413874
63	1.184397929
64	1.184388521
65	1.184378528
66	1.184363546
67	1.184346976
68	1.18433235
69	1.184321132
70	1.184312965
71	1.184296561
72	1.184285247
73	1.184276041
74	1.184263957
75	1.18425207
76	1.184241098
77	1.184234595
78	1.184222603
79	1.184213217
80	1.184199921
81	1.184192958
82	1.184186413
83	1.184177918
84	1.184169377
85	1.184158447
86	1.184150053
87	1.184134411
88	1.184125183
89	1.184113921
90	1.184099322
91	1.184089971
92	1.184077869
93	1.184066261
94	1.184049906
95	1.184038603
96	1.184029693
97	1.18401623
98	1.184004322
99	1.183993585
100	1.183986919
101	1.183975342
102	1.183966024
103	1.183954406
104	1.18394279
105	1.18393032
106	1.183919879
107	1.183905878
108	1.183893552
109	1.18387792
110	1.183861005
111	1.183844635
112	1.183828981
113	1.183818833
114	1.183804627
115	1.183789435
116	1.183775189
117	1.183762109
118	1.183751545
119	1.183740263
120	1.183730575
121	1.183720359
122	1.183709713
123	1.183694676
124	1.183685336
125	1.183672053
126	1.183661993
127	1.183648528
128	1.183638524
129	1.183624511
130	1.183610245
131	1.183592374
132	1.183578584
133	1.183563036
134	1.183550452
135	1.18353741
136	1.183521928
137	1.183508523
138	1.183496187
139	1.183479418
140	1.183465422
141	1.183451871
142	1.183439175
143	1.183425795
144	1.183415146
145	1.183401362
146	1.183390589
147	1.183375208
148	1.183362648
149	1.183346665
150	1.183334416
151	1.183318008
152	1.18330493
153	1.183292856
154	1.183279085
155	1.183265375
156	1.183252054
157	1.183237705
158	1.183225668
159	1.183211099
160	1.183194884
161	1.183179174
162	1.183164087
163	1.183151184
164	1.183134333
165	1.183121868
166	1.183108634
167	1.183095908
168	1.183083886
169	1.183072534
170	1.183058869
171	1.18304811
172	1.183037322
173	1.183021457
174	1.183010433
175	1.18299761
176	1.182984795
177	1.182969338
178	1.182959336
179	1.182947115
180	1.182933615
181	1.182921983
182	1.182910577
183	1.182896951
184	1.182884916
185	1.182870129
186	1.182861473
187	1.182853145
188	1.182839764
189	1.182826597
190	1.182810854
191	1.182797394
192	1.182782933
193	1.18276944
194	1.182756088
195	1.182743397
196	1.182730134
197	1.182716343
198	1.182703956
199	1.182689197
200	1.182675965
201	1.182662174
202	1.182645259
203	1.18263373
204	1.182618111
205	1.182607241
206	1.18259605
207	1.182583388
208	1.182571389
209	1.1825582
210	1.182544924
211	1.182530656
212	1.18252008
213	1.182509731
214	1.182493462
215	1.182478999
216	1.182465527
217	1.182454638
218	1.182442314
219	1.18242837
220	1.182414157
221	1.182402256
222	1.182393088
223	1.182381259
224	1.182362589
225	1.182348336
226	1.182336348
227	1.182320054
228	1.18230688
229	1.182294488
230	1.182280993
231	1.182267959
232	1.18225391
233	1.182238797
234	1.182225304
235	1.182214182
236	1.182203148
237	1.182192226
238	1.182180087
239	1.182169255
240	1.182158675
241	1.182146167
242	1.182134953
243	1.182122143
244	1.182108639
245	1.18209576
246	1.182081715
247	1.182069111
248	1.182052779
249	1.182040142
250	1.182029302
251	1.182016263
252	1.182002204
253	1.18198888
254	1.181976261
255	1.181965564
