iter	Passed	Remaining
0	225	225153
1	270	135119
2	319	106106
3	363	90606
4	398	79326
5	431	71565
6	464	65860
7	497	61683
8	531	58477
9	567	56208
10	600	53961
11	632	52095
12	662	50312
13	694	48940
14	727	47760
15	758	46635
16	793	45887
17	825	45015
18	857	44256
19	889	43581
20	921	42952
21	953	42371
22	983	41784
23	1013	41204
24	1044	40738
25	1073	40229
26	1107	39894
27	1135	39414
28	1164	38998
29	1195	38644
30	1225	38306
31	1258	38067
32	1289	37782
33	1319	37500
34	1351	37253
35	1383	37054
36	1415	36840
37	1445	36605
38	1476	36377
39	1505	36139
40	1537	35950
41	1573	35891
42	1607	35781
43	1640	35645
44	1671	35482
45	1703	35335
46	1734	35177
47	1769	35099
48	1800	34940
49	1836	34894
50	1871	34817
51	1908	34785
52	1939	34654
53	1973	34564
54	2011	34552
55	2051	34585
56	2094	34651
57	2127	34553
58	2159	34442
59	2191	34333
60	2224	34237
61	2258	34175
62	2291	34076
63	2324	33993
64	2356	33894
65	2398	33948
66	2432	33874
67	2467	33820
68	2503	33775
69	2535	33680
70	2564	33555
71	2595	33458
72	2628	33376
73	2662	33321
74	2694	33226
75	2723	33117
76	2753	33002
77	2787	32949
78	2820	32886
79	2855	32836
80	2887	32757
81	2919	32679
82	2951	32609
83	2981	32515
84	3014	32453
85	3045	32370
86	3078	32305
87	3110	32235
88	3140	32148
89	3172	32075
90	3205	32019
91	3237	31952
92	3272	31914
93	3302	31830
94	3338	31799
95	3372	31760
96	3407	31725
97	3438	31646
98	3469	31574
99	3499	31498
100	3531	31436
101	3564	31383
102	3595	31311
103	3624	31227
104	3655	31158
105	3686	31095
106	3719	31045
107	3751	30986
108	3784	30937
109	3816	30875
110	3844	30793
111	3874	30722
112	3907	30669
113	3936	30593
114	3966	30523
115	3999	30478
116	4033	30442
117	4067	30404
118	4097	30332
119	4129	30284
120	4161	30228
121	4193	30176
122	4223	30112
123	4252	30044
124	4282	29975
125	4314	29926
126	4347	29886
127	4382	29855
128	4409	29774
129	4440	29718
130	4469	29651
131	4500	29595
132	4532	29546
133	4583	29619
134	4625	29637
135	4653	29562
136	4682	29499
137	4713	29442
138	4743	29383
139	4781	29370
140	4810	29308
141	4840	29246
142	4874	29215
143	4905	29159
144	4935	29099
145	4965	29046
146	4999	29010
147	5032	28970
148	5062	28914
149	5095	28872
150	5127	28831
151	5156	28770
152	5189	28728
153	5219	28673
154	5252	28635
155	5282	28581
156	5315	28542
157	5351	28518
158	5390	28512
159	5425	28483
160	5456	28436
161	5489	28394
162	5521	28354
163	5593	28515
164	5663	28661
165	5741	28847
